年,週,就診類別,年齡別,county,NHIAcute,健保就診總人次
2008,14,住院,25-64,高雄市,0,1244
2008,14,住院,25-64,基隆市,0,196
2008,14,住院,25-64,雲林縣,1,146
2008,14,住院,25-64,新北市,2,931
2008,14,住院,25-64,新竹市,0,255
2008,14,住院,25-64,新竹縣,0,80
2008,14,住院,25-64,嘉義市,0,180
2008,14,住院,25-64,嘉義縣,0,278
2008,14,住院,25-64,彰化縣,5,722
2008,14,住院,25-64,澎湖縣,0,5
2008,14,住院,5-14,台中市,0,153
2008,14,住院,5-14,台北市,2,190
2008,14,住院,5-14,台東縣,0,11
2008,14,住院,5-14,台南市,0,23
2008,14,住院,5-14,宜蘭縣,0,39
2008,14,住院,5-14,花蓮縣,0,22
2008,14,住院,5-14,金門縣,0,4
2008,14,住院,5-14,南投縣,0,2
2008,14,住院,5-14,屏東縣,0,25
2008,14,住院,5-14,苗栗縣,0,2
2008,14,住院,5-14,桃園市,0,109
2008,14,住院,5-14,高雄市,0,93
2008,14,住院,5-14,基隆市,0,22
2008,14,住院,5-14,連江縣,0,1
2008,14,住院,5-14,雲林縣,0,2
2008,14,住院,5-14,新北市,1,40
2008,14,住院,5-14,新竹市,0,26
2008,14,住院,5-14,新竹縣,0,6
2008,14,住院,5-14,嘉義市,0,12
2008,14,住院,5-14,嘉義縣,0,25
2008,14,住院,5-14,彰化縣,0,98
2008,14,住院,65+,台中市,0,865
2008,14,住院,65+,台北市,1,1561
2008,14,住院,65+,台東縣,0,84
2008,14,住院,65+,台南市,0,280
2008,14,住院,65+,宜蘭縣,0,202
2008,14,住院,65+,花蓮縣,0,174
2008,14,住院,65+,金門縣,0,18
2008,14,住院,65+,南投縣,1,46
2008,14,住院,65+,屏東縣,0,191
2008,14,住院,65+,苗栗縣,0,58
2008,14,住院,65+,桃園市,0,700
2008,14,住院,65+,高雄市,0,633
2008,14,住院,65+,基隆市,0,178
2008,14,住院,65+,連江縣,0,1
2008,14,住院,65+,雲林縣,0,93
2008,14,住院,65+,新北市,0,490
2008,14,住院,65+,新竹市,0,130
2008,14,住院,65+,新竹縣,0,50
2008,14,住院,65+,嘉義市,0,95
2008,14,住院,65+,嘉義縣,0,271
2008,14,住院,65+,彰化縣,0,495
2008,14,住院,65+,澎湖縣,0,1
2008,14,門診,0-4,台中市,5771,34850
2008,14,門診,0-4,台北市,4492,19193
2008,14,門診,0-4,台東縣,752,1728
2008,14,門診,0-4,台南市,4076,21033
2008,14,門診,0-4,宜蘭縣,1384,4806
2008,14,門診,0-4,花蓮縣,539,2989
2008,14,門診,0-4,金門縣,297,740
2008,14,門診,0-4,南投縣,1132,5692
2008,14,門診,0-4,屏東縣,1712,8451
2008,14,門診,0-4,苗栗縣,1004,6104
2008,14,門診,0-4,桃園市,5429,23450
2008,14,門診,0-4,高雄市,5878,27469
2008,14,門診,0-4,基隆市,522,3156
2008,14,門診,0-4,連江縣,7,60
2008,14,門診,0-4,雲林縣,1548,9160
2008,14,門診,0-4,新北市,10789,34788
2008,14,門診,0-4,新竹市,1067,5172
2008,14,門診,0-4,新竹縣,1399,5352
2008,14,門診,0-4,嘉義市,752,5181
2008,14,門診,0-4,嘉義縣,815,3357
2008,14,門診,0-4,彰化縣,3628,17651
2008,14,門診,0-4,澎湖縣,119,1217
2008,14,門診,15-24,台中市,4216,36899
2008,14,門診,15-24,台北市,3702,26209
2008,14,門診,15-24,台東縣,344,1666
2008,14,門診,15-24,台南市,2152,22207
2008,14,門診,15-24,宜蘭縣,584,4372
2008,14,門診,15-24,花蓮縣,410,3486
2008,14,門診,15-24,金門縣,125,876
2008,14,門診,15-24,南投縣,672,4873
2008,14,門診,15-24,屏東縣,1004,8359
2008,14,門診,15-24,苗栗縣,910,5409
2008,14,門診,15-24,桃園市,2596,19858
2008,14,門診,15-24,高雄市,3569,31785
2008,14,門診,15-24,基隆市,561,3694
2008,14,門診,15-24,連江縣,50,183
2008,14,門診,15-24,雲林縣,942,7215
2008,14,門診,15-24,新北市,6643,38070
2008,14,門診,15-24,新竹市,581,4959
2008,14,門診,15-24,新竹縣,735,4197
2008,14,門診,15-24,嘉義市,440,5554
2008,14,門診,15-24,嘉義縣,625,3291
2008,14,門診,15-24,彰化縣,2024,15889
2008,14,門診,15-24,澎湖縣,248,1920
2008,14,門診,25-64,台中市,19023,216552
2008,14,門診,25-64,台北市,18181,200193
2008,14,門診,25-64,台東縣,1670,12655
2008,14,門診,25-64,台南市,10770,142041
2008,14,門診,25-64,宜蘭縣,3092,28473
2008,14,門診,25-64,花蓮縣,2063,23608
2008,14,門診,25-64,金門縣,521,3523
2008,14,門診,25-64,南投縣,3206,32138
2008,14,門診,25-64,屏東縣,4967,57153
2008,14,門診,25-64,苗栗縣,3882,32215
2008,14,門診,25-64,桃園市,12019,124073
2008,14,門診,25-64,高雄市,18482,223902
2008,14,門診,25-64,基隆市,2784,26116
2008,14,門診,25-64,連江縣,47,447
2008,14,門診,25-64,雲林縣,4439,48440
2008,14,門診,25-64,新北市,32090,225940
2008,14,門診,25-64,新竹市,2743,30070
2008,14,門診,25-64,新竹縣,3286,23931
2008,14,門診,25-64,嘉義市,2243,35056
2008,14,門診,25-64,嘉義縣,3293,26147
2008,14,門診,25-64,彰化縣,8275,86703
2008,14,門診,25-64,澎湖縣,949,10255
2008,14,門診,5-14,台中市,8836,59934
2008,14,門診,5-14,台北市,7869,39073
2008,14,門診,5-14,台東縣,1008,2839
2008,14,門診,5-14,台南市,5654,33919
2008,14,門診,5-14,宜蘭縣,1876,7859
2008,14,門診,5-14,花蓮縣,942,4996
2008,14,門診,5-14,金門縣,404,1138
2008,14,門診,5-14,南投縣,1716,9840
2008,14,門診,5-14,屏東縣,2570,13981
2008,14,門診,5-14,苗栗縣,1779,9478
2008,14,門診,5-14,桃園市,7386,39213
2008,14,門診,5-14,高雄市,8860,48424
2008,14,門診,5-14,基隆市,1074,6245
2008,14,門診,5-14,連江縣,31,117
2008,14,門診,5-14,雲林縣,2365,14398
2008,14,門診,5-14,新北市,17086,66181
2008,14,門診,5-14,新竹市,1384,8632
2008,14,門診,5-14,新竹縣,2172,8439
2008,14,門診,5-14,嘉義市,1215,8884
2008,14,門診,5-14,嘉義縣,1733,6807
2008,14,門診,5-14,彰化縣,4750,27245
2008,14,門診,5-14,澎湖縣,378,2299
2008,14,門診,65+,台中市,5159,77557
2008,14,門診,65+,台北市,5347,92020
2008,14,門診,65+,台東縣,795,7760
2008,14,門診,65+,台南市,3791,66702
2008,14,門診,65+,宜蘭縣,1323,17182
2008,14,門診,65+,花蓮縣,934,12706
2008,14,門診,65+,金門縣,122,1477
2008,14,門診,65+,南投縣,1542,19268
2008,14,門診,65+,屏東縣,2289,33975
2008,14,門診,65+,苗栗縣,1381,18159
2008,14,門診,65+,桃園市,3156,44416
2008,14,門診,65+,高雄市,5528,92822
2008,14,門診,65+,基隆市,1143,12544
2008,14,門診,65+,連江縣,9,141
2008,14,門診,65+,雲林縣,1683,27666
2008,14,門診,65+,新北市,6863,64107
2008,14,門診,65+,新竹市,655,10675
2008,14,門診,65+,新竹縣,984,10706
2008,14,門診,65+,嘉義市,731,16024
2008,14,門診,65+,嘉義縣,1759,19036
2008,14,門診,65+,彰化縣,2686,40797
2008,14,門診,65+,澎湖縣,318,6222
2008,15,住院,0-4,台中市,4,302
2008,15,住院,0-4,台北市,15,510
2008,15,住院,0-4,台東縣,0,43
2008,15,住院,0-4,台南市,0,51
2008,15,住院,0-4,宜蘭縣,0,98
2008,15,住院,0-4,花蓮縣,1,43
2008,15,住院,0-4,金門縣,0,12
2008,15,住院,0-4,南投縣,0,12
2008,15,住院,0-4,屏東縣,0,53
2008,15,住院,0-4,苗栗縣,0,2
2008,15,住院,0-4,桃園市,0,339
2008,15,住院,0-4,高雄市,0,249
2008,15,住院,0-4,基隆市,0,33
2008,15,住院,0-4,連江縣,0,4
2008,15,住院,0-4,雲林縣,0,2
2008,15,住院,0-4,新北市,1,129
2008,15,住院,0-4,新竹市,0,78
2008,15,住院,0-4,新竹縣,0,30
2008,15,住院,0-4,嘉義市,0,44
2008,15,住院,0-4,嘉義縣,0,56
2008,15,住院,0-4,彰化縣,2,231
2008,15,住院,15-24,台中市,0,283
2008,15,住院,15-24,台北市,2,306
2008,15,住院,15-24,台東縣,0,19
2008,15,住院,15-24,台南市,0,77
2008,15,住院,15-24,宜蘭縣,0,52
2008,15,住院,15-24,花蓮縣,0,53
2008,15,住院,15-24,金門縣,0,6
2008,15,住院,15-24,南投縣,0,19
2008,15,住院,15-24,屏東縣,0,50
2008,15,住院,15-24,苗栗縣,0,25
2008,15,住院,15-24,桃園市,0,202
2008,15,住院,15-24,高雄市,0,191
2008,15,住院,15-24,基隆市,0,18
2008,15,住院,15-24,連江縣,0,1
2008,15,住院,15-24,雲林縣,0,32
2008,15,住院,15-24,新北市,0,161
2008,15,住院,15-24,新竹市,0,33
2008,15,住院,15-24,新竹縣,0,14
2008,15,住院,15-24,嘉義市,0,18
2008,15,住院,15-24,嘉義縣,0,36
2008,15,住院,15-24,彰化縣,0,117
2008,15,住院,15-24,澎湖縣,0,6
2008,15,住院,25-64,台中市,2,2745
2008,15,住院,25-64,台北市,12,4697
2008,15,住院,25-64,台東縣,0,193
2008,15,住院,25-64,台南市,1,1134
2008,15,住院,25-64,宜蘭縣,2,581
2008,15,住院,25-64,花蓮縣,1,439
2008,15,住院,25-64,金門縣,0,22
2008,15,住院,25-64,南投縣,0,141
2008,15,住院,25-64,屏東縣,1,358
2008,15,住院,25-64,苗栗縣,0,137
2008,15,住院,25-64,桃園市,0,2135
2008,15,住院,25-64,高雄市,2,2507
2008,15,住院,25-64,基隆市,1,348
2008,15,住院,25-64,連江縣,0,1
2008,15,住院,25-64,雲林縣,0,230
2008,15,住院,25-64,新北市,3,1691
2008,15,住院,25-64,新竹市,0,321
2008,15,住院,25-64,新竹縣,0,128
2008,15,住院,25-64,嘉義市,1,319
2008,15,住院,25-64,嘉義縣,0,549
2008,15,住院,25-64,彰化縣,5,1196
2008,15,住院,25-64,澎湖縣,0,14
2008,15,住院,5-14,台中市,2,186
2008,15,住院,5-14,台北市,5,284
2008,15,住院,5-14,台東縣,0,24
2008,15,住院,5-14,台南市,0,47
2008,15,住院,5-14,宜蘭縣,0,56
2008,15,住院,5-14,花蓮縣,1,31
2008,15,住院,5-14,金門縣,1,4
2008,15,住院,5-14,南投縣,0,5
2008,15,住院,5-14,屏東縣,0,24
2008,15,住院,5-14,苗栗縣,0,1
2008,15,住院,5-14,桃園市,0,193
2008,15,住院,5-14,高雄市,0,189
2008,15,住院,5-14,基隆市,0,24
2008,15,住院,5-14,連江縣,0,1
2008,15,住院,5-14,雲林縣,0,6
2008,15,住院,5-14,新北市,0,81
2008,15,住院,5-14,新竹市,0,34
2008,15,住院,5-14,新竹縣,0,14
2008,15,住院,5-14,嘉義市,0,13
2008,15,住院,5-14,嘉義縣,0,40
2008,15,住院,5-14,彰化縣,1,112
2008,15,住院,65+,台中市,3,1546
2008,15,住院,65+,台北市,6,2986
2008,15,住院,65+,台東縣,0,148
2008,15,住院,65+,台南市,1,523
2008,15,住院,65+,宜蘭縣,0,400
2008,15,住院,65+,花蓮縣,0,291
2008,15,住院,65+,金門縣,0,17
2008,15,住院,65+,南投縣,1,83
2008,15,住院,65+,屏東縣,0,274
2008,15,住院,65+,苗栗縣,0,89
2008,15,住院,65+,桃園市,0,1186
2008,15,住院,65+,高雄市,2,1228
2008,15,住院,65+,基隆市,0,289
2008,15,住院,65+,雲林縣,0,164
2008,15,住院,65+,新北市,1,930
2008,15,住院,65+,新竹市,0,151
2008,15,住院,65+,新竹縣,0,76
2008,15,住院,65+,嘉義市,0,183
2008,15,住院,65+,嘉義縣,0,446
2008,15,住院,65+,彰化縣,5,794
2008,15,住院,65+,澎湖縣,0,20
2008,15,門診,0-4,台中市,7641,48501
2008,15,門診,0-4,台北市,6665,29453
2008,15,門診,0-4,台東縣,993,2574
2008,15,門診,0-4,台南市,5205,28235
2008,15,門診,0-4,宜蘭縣,1815,6515
2008,15,門診,0-4,花蓮縣,745,4320
2008,15,門診,0-4,金門縣,402,1185
2008,15,門診,0-4,南投縣,1544,7868
2008,15,門診,0-4,屏東縣,2265,12313
2008,15,門診,0-4,苗栗縣,1438,8340
2008,15,門診,0-4,桃園市,7401,34519
2008,15,門診,0-4,高雄市,7664,37772
2008,15,門診,0-4,基隆市,837,4777
2008,15,門診,0-4,連江縣,12,107
2008,15,門診,0-4,雲林縣,1924,12397
2008,15,門診,0-4,新北市,15239,50696
2008,15,門診,0-4,新竹市,1445,7344
2008,15,門診,0-4,新竹縣,1999,8156
2008,15,門診,0-4,嘉義市,1073,7458
2008,15,門診,0-4,嘉義縣,1049,4847
2008,15,門診,0-4,彰化縣,4666,24381
2008,15,門診,0-4,澎湖縣,125,1661
2008,15,門診,15-24,台中市,5556,51798
2008,15,門診,15-24,台北市,5119,40664
2008,15,門診,15-24,台東縣,369,2275
2008,15,門診,15-24,台南市,2848,31748
2008,15,門診,15-24,宜蘭縣,701,5797
2008,15,門診,15-24,花蓮縣,473,4976
2008,15,門診,15-24,金門縣,161,1180
2008,15,門診,15-24,南投縣,737,6048
2008,15,門診,15-24,屏東縣,1304,11427
2008,15,門診,15-24,苗栗縣,1091,7284
2008,15,門診,15-24,桃園市,3534,30076
2008,15,門診,15-24,高雄市,4563,43919
2008,15,門診,15-24,基隆市,625,5498
2008,15,門診,15-24,連江縣,39,280
2008,15,門診,15-24,雲林縣,992,9349
2008,15,門診,15-24,新北市,8902,56688
2008,15,門診,15-24,新竹市,877,7704
2008,15,門診,15-24,新竹縣,1002,6187
2008,15,門診,15-24,嘉義市,512,7164
2008,15,門診,15-24,嘉義縣,887,4561
2008,15,門診,15-24,彰化縣,2302,20131
2008,15,門診,15-24,澎湖縣,297,2526
2008,15,門診,25-64,台中市,24668,315443
2008,15,門診,25-64,台北市,26626,329126
2008,15,門診,25-64,台東縣,2081,18989
2008,15,門診,25-64,台南市,13255,201148
2008,15,門診,25-64,宜蘭縣,3877,42315
2008,15,門診,25-64,花蓮縣,2735,35911
2008,15,門診,25-64,金門縣,626,5859
2008,15,門診,25-64,南投縣,4036,45984
2008,15,門診,25-64,屏東縣,6342,80502
2008,15,門診,25-64,苗栗縣,5083,47860
2008,15,門診,25-64,桃園市,16702,195217
2008,15,門診,25-64,高雄市,23809,324083
2008,15,門診,25-64,基隆市,3800,42168
2008,15,門診,25-64,連江縣,63,694
2008,15,門診,25-64,雲林縣,5294,66879
2008,15,門診,25-64,新北市,44729,357508
2008,15,門診,25-64,新竹市,3761,45380
2008,15,門診,25-64,新竹縣,4563,38501
2008,15,門診,25-64,嘉義市,2770,49751
2008,15,門診,25-64,嘉義縣,4086,37573
2008,15,門診,25-64,彰化縣,10244,127339
2008,15,門診,25-64,澎湖縣,1134,14280
2008,15,門診,5-14,台中市,11293,79968
2008,15,門診,5-14,台北市,10231,54676
2008,15,門診,5-14,台東縣,1162,3931
2008,15,門診,5-14,台南市,6548,43617
2008,15,門診,5-14,宜蘭縣,2284,10519
2008,15,門診,5-14,花蓮縣,1006,6720
2008,15,門診,5-14,金門縣,532,1724
2008,15,門診,5-14,南投縣,2253,12734
2008,15,門診,5-14,屏東縣,3168,19311
2008,15,門診,5-14,苗栗縣,2215,12840
2008,15,門診,5-14,桃園市,9159,54639
2008,15,門診,5-14,高雄市,10381,63953
2008,15,門診,5-14,基隆市,1284,8346
2008,15,門診,5-14,連江縣,30,144
2008,15,門診,5-14,雲林縣,2690,18673
2008,15,門診,5-14,新北市,21225,90441
2008,15,門診,5-14,新竹市,1805,11808
2008,15,門診,5-14,新竹縣,2653,11926
2008,15,門診,5-14,嘉義市,1575,11292
2008,15,門診,5-14,嘉義縣,2087,8770
2008,15,門診,5-14,彰化縣,5786,35769
2008,15,門診,5-14,澎湖縣,404,2864
2008,15,門診,65+,台中市,6735,116178
2008,15,門診,65+,台北市,8453,161281
2008,15,門診,65+,台東縣,1145,12432
2008,15,門診,65+,台南市,4839,98699
2008,15,門診,65+,宜蘭縣,1806,27388
2008,15,門診,65+,花蓮縣,1209,19404
2008,15,門診,65+,金門縣,249,3079
2008,15,門診,65+,南投縣,1978,28380
2008,15,門診,65+,屏東縣,2952,49376
2008,15,門診,65+,苗栗縣,1746,28171
2008,15,門診,65+,桃園市,4401,74023
2008,15,門診,65+,高雄市,7388,140899
2008,15,門診,65+,基隆市,1725,21703
2008,15,門診,65+,連江縣,14,175
2008,15,門診,65+,雲林縣,2213,41037
2008,15,門診,65+,新北市,10038,106938
2008,15,門診,65+,新竹市,937,16655
2008,15,門診,65+,新竹縣,1377,17229
2008,15,門診,65+,嘉義市,968,24103
2008,15,門診,65+,嘉義縣,2273,29255
2008,15,門診,65+,彰化縣,3460,62669
2008,15,門診,65+,澎湖縣,427,9189
2008,16,住院,0-4,台中市,2,291
2008,16,住院,0-4,台北市,13,442
2008,16,住院,0-4,台東縣,0,35
2008,16,住院,0-4,台南市,0,61
2008,16,住院,0-4,宜蘭縣,0,125
2008,16,住院,0-4,花蓮縣,2,37
2008,16,住院,0-4,金門縣,0,12
2008,16,住院,0-4,南投縣,0,9
2008,16,住院,0-4,屏東縣,0,54
2008,16,住院,0-4,苗栗縣,1,3
2008,16,住院,0-4,桃園市,1,316
2008,16,住院,0-4,高雄市,0,270
2008,16,住院,0-4,基隆市,0,41
2008,16,住院,0-4,雲林縣,0,4
2008,16,住院,0-4,新北市,0,106
2008,16,住院,0-4,新竹市,0,101
2008,16,住院,0-4,新竹縣,0,24
2008,16,住院,0-4,嘉義市,0,35
2008,16,住院,0-4,嘉義縣,1,50
2008,16,住院,0-4,彰化縣,5,254
2008,16,住院,15-24,台中市,0,274
2008,16,住院,15-24,台北市,3,348
2008,16,住院,15-24,台東縣,0,30
2008,16,住院,15-24,台南市,0,82
2008,16,住院,15-24,宜蘭縣,0,43
2008,16,住院,15-24,花蓮縣,0,33
2008,16,住院,15-24,金門縣,0,6
2008,16,住院,15-24,南投縣,0,17
2008,16,住院,15-24,屏東縣,0,43
2008,16,住院,15-24,苗栗縣,0,18
2008,16,住院,15-24,桃園市,0,176
2008,16,住院,15-24,高雄市,0,224
2008,16,住院,15-24,基隆市,0,25
2008,16,住院,15-24,連江縣,0,4
2008,16,住院,15-24,雲林縣,0,24
2008,16,住院,15-24,新北市,0,162
2008,16,住院,15-24,新竹市,0,31
2008,16,住院,15-24,新竹縣,0,19
2008,16,住院,15-24,嘉義市,0,19
2008,16,住院,15-24,嘉義縣,0,26
2008,16,住院,15-24,彰化縣,2,109
2008,16,住院,15-24,澎湖縣,0,2
2008,16,住院,25-64,台中市,2,2643
2008,16,住院,25-64,台北市,13,4434
2008,16,住院,25-64,台東縣,0,183
2008,16,住院,25-64,台南市,0,1033
2008,16,住院,25-64,宜蘭縣,0,442
2008,16,住院,25-64,花蓮縣,0,472
2008,16,住院,25-64,金門縣,0,30
2008,16,住院,25-64,南投縣,1,110
2008,16,住院,25-64,屏東縣,0,340
2008,16,住院,25-64,苗栗縣,1,119
2008,16,住院,25-64,桃園市,1,1975
2008,16,住院,25-64,高雄市,2,2384
2008,16,住院,25-64,基隆市,0,362
2008,16,住院,25-64,連江縣,0,2
2008,16,住院,25-64,雲林縣,0,221
2008,16,住院,25-64,新北市,1,1565
2008,16,住院,25-64,新竹市,0,392
2008,16,住院,25-64,新竹縣,0,129
2008,16,住院,25-64,嘉義市,0,329
2008,16,住院,25-64,嘉義縣,0,494
2008,16,住院,25-64,彰化縣,3,1143
2008,16,住院,25-64,澎湖縣,0,15
2008,16,住院,5-14,台中市,1,190
2008,16,住院,5-14,台北市,3,277
2008,16,住院,5-14,台東縣,0,23
2008,16,住院,5-14,台南市,0,33
2008,16,住院,5-14,宜蘭縣,0,51
2008,16,住院,5-14,花蓮縣,1,27
2008,16,住院,5-14,金門縣,0,4
2008,16,住院,5-14,南投縣,0,5
2008,16,住院,5-14,屏東縣,0,22
2008,16,住院,5-14,苗栗縣,0,4
2008,16,住院,5-14,桃園市,0,185
2008,16,住院,5-14,高雄市,0,166
2008,16,住院,5-14,基隆市,0,23
2008,16,住院,5-14,雲林縣,1,6
2008,16,住院,5-14,新北市,0,56
2008,16,住院,5-14,新竹市,0,31
2008,16,住院,5-14,新竹縣,0,12
2008,16,住院,5-14,嘉義市,0,17
2008,16,住院,5-14,嘉義縣,0,40
2008,16,住院,5-14,彰化縣,2,129
2008,16,住院,65+,台中市,2,1474
2008,16,住院,65+,台北市,4,2787
2008,16,住院,65+,台東縣,0,148
2008,16,住院,65+,台南市,1,558
2008,16,住院,65+,宜蘭縣,0,357
2008,16,住院,65+,花蓮縣,1,277
2008,16,住院,65+,金門縣,0,22
2008,16,住院,65+,南投縣,0,71
2008,16,住院,65+,屏東縣,0,201
2008,16,住院,65+,苗栗縣,0,78
2008,16,住院,65+,桃園市,0,1134
2008,16,住院,65+,高雄市,1,1199
2008,16,住院,65+,基隆市,0,265
2008,16,住院,65+,連江縣,0,5
2008,16,住院,65+,雲林縣,0,154
2008,16,住院,65+,新北市,1,893
2008,16,住院,65+,新竹市,0,195
2008,16,住院,65+,新竹縣,0,90
2008,16,住院,65+,嘉義市,0,162
2008,16,住院,65+,嘉義縣,0,423
2008,16,住院,65+,彰化縣,3,774
2008,16,住院,65+,澎湖縣,0,9
2008,16,門診,0-4,台中市,7395,47669
2008,16,門診,0-4,台北市,6783,30056
2008,16,門診,0-4,台東縣,993,2477
2008,16,門診,0-4,台南市,4714,27075
2008,16,門診,0-4,宜蘭縣,1745,6717
2008,16,門診,0-4,花蓮縣,693,4088
2008,16,門診,0-4,金門縣,428,1242
2008,16,門診,0-4,南投縣,1502,7998
2008,16,門診,0-4,屏東縣,2379,11708
2008,16,門診,0-4,苗栗縣,1376,8276
2008,16,門診,0-4,桃園市,7131,34330
2008,16,門診,0-4,高雄市,7334,36908
2008,16,門診,0-4,基隆市,879,4718
2008,16,門診,0-4,連江縣,17,129
2008,16,門診,0-4,雲林縣,1720,11905
2008,16,門診,0-4,新北市,14975,50256
2008,16,門診,0-4,新竹市,1417,7760
2008,16,門診,0-4,新竹縣,1959,8040
2008,16,門診,0-4,嘉義市,1032,7021
2008,16,門診,0-4,嘉義縣,990,4562
2008,16,門診,0-4,彰化縣,4588,23866
2008,16,門診,0-4,澎湖縣,133,1524
2008,16,門診,15-24,台中市,5390,50092
2008,16,門診,15-24,台北市,5149,40591
2008,16,門診,15-24,台東縣,365,2142
2008,16,門診,15-24,台南市,2689,30580
2008,16,門診,15-24,宜蘭縣,748,5673
2008,16,門診,15-24,花蓮縣,504,4798
2008,16,門診,15-24,金門縣,205,1378
2008,16,門診,15-24,南投縣,697,6134
2008,16,門診,15-24,屏東縣,1229,10987
2008,16,門診,15-24,苗栗縣,1076,7191
2008,16,門診,15-24,桃園市,3402,30595
2008,16,門診,15-24,高雄市,4334,43311
2008,16,門診,15-24,基隆市,623,5372
2008,16,門診,15-24,連江縣,59,278
2008,16,門診,15-24,雲林縣,958,9109
2008,16,門診,15-24,新北市,8735,56372
2008,16,門診,15-24,新竹市,821,7759
2008,16,門診,15-24,新竹縣,997,6296
2008,16,門診,15-24,嘉義市,482,6901
2008,16,門診,15-24,嘉義縣,817,4202
2008,16,門診,15-24,彰化縣,2241,20135
2008,16,門診,15-24,澎湖縣,245,2279
2008,16,門診,25-64,台中市,23627,308809
2008,16,門診,25-64,台北市,25221,324127
2008,16,門診,25-64,台東縣,2051,18577
2008,16,門診,25-64,台南市,12511,195123
2008,16,門診,25-64,宜蘭縣,3622,40628
2008,16,門診,25-64,花蓮縣,2671,34647
2008,16,門診,25-64,金門縣,764,6003
2008,16,門診,25-64,南投縣,3910,45504
2008,16,門診,25-64,屏東縣,6014,77414
2008,16,門診,25-64,苗栗縣,4747,45870
2008,16,門診,25-64,桃園市,15349,191850
2008,16,門診,25-64,高雄市,22685,317613
2008,16,門診,25-64,基隆市,3721,40991
2008,16,門診,25-64,連江縣,54,659
2008,16,門診,25-64,雲林縣,4780,65720
2008,16,門診,25-64,新北市,41927,346087
2008,16,門診,25-64,新竹市,3434,47441
2008,16,門診,25-64,新竹縣,4310,37125
2008,16,門診,25-64,嘉義市,2515,48356
2008,16,門診,25-64,嘉義縣,3610,36414
2008,16,門診,25-64,彰化縣,10108,124431
2008,16,門診,25-64,澎湖縣,949,13915
2008,16,門診,5-14,台中市,10330,73934
2008,16,門診,5-14,台北市,10008,53618
2008,16,門診,5-14,台東縣,1209,3883
2008,16,門診,5-14,台南市,6023,40656
2008,16,門診,5-14,宜蘭縣,2188,9694
2008,16,門診,5-14,花蓮縣,1128,6807
2008,16,門診,5-14,金門縣,552,1819
2008,16,門診,5-14,南投縣,2164,12472
2008,16,門診,5-14,屏東縣,3215,18727
2008,16,門診,5-14,苗栗縣,2010,12034
2008,16,門診,5-14,桃園市,8754,51938
2008,16,門診,5-14,高雄市,9770,61207
2008,16,門診,5-14,基隆市,1299,8180
2008,16,門診,5-14,連江縣,41,165
2008,16,門診,5-14,雲林縣,2511,17858
2008,16,門診,5-14,新北市,20776,86995
2008,16,門診,5-14,新竹市,1645,11472
2008,16,門診,5-14,新竹縣,2525,11014
2008,16,門診,5-14,嘉義市,1394,10869
2008,16,門診,5-14,嘉義縣,1952,8307
2008,16,門診,5-14,彰化縣,5685,35157
2008,16,門診,5-14,澎湖縣,398,2874
2008,16,門診,65+,台中市,6501,111965
